접수번호,법인구분,고유번호,법인명,주식의종류,이름,관계,기초주식수,기초주식지분율,기말주식수,기말주식지분율,비고,보고서연도
20200330003179,Y,00110893,대신증권,보통주,양회금,특수관계인,"2,072",0.00,"2,072",0.00,-,2019
20200330003179,Y,00110893,대신증권,우선주,양회금,특수관계인,"2,245",0.01,"2,245",0.01,-,2019
20200330003179,Y,00110893,대신증권,보통주,노정남,특수관계인,"40,737",0.08,"40,737",0.08,-,2019
20200330003179,Y,00110893,대신증권,우선주,노정남,특수관계인,"1,733",0.00,"1,733",0.00,-,2019
20200330003179,Y,00110893,대신증권,보통주,안경환,특수관계인,"6,886",0.01,"6,886",0.01,-,2019
20200330003179,Y,00110893,대신증권,보통주,계,,"6,098,412",12.01,"6,283,284",12.38,-,2019
20200330003179,Y,00110893,대신증권,우선주,계,,"1,388,732",3.86,"1,388,732",3.86,-,2019
20210311001204,Y,00110893,대신증권,보통주,양홍석,본인,"3,976,804",7.83,"4,610,498",9.08,*시장매입 이연성과급,2020
20210311001204,Y,00110893,대신증권,보통주,안경환,특수관계인,"6,886",0.01,"6,886",0.01,-,2020
20210311001204,Y,00110893,대신증권,보통주,오익근,특수관계인,0,0.00,"13,788",0.03,*이연성과급,2020
20210311001204,Y,00110893,대신증권,보통주,"대신송촌
문화재단",특수관계인,"665,696",1.31,"665,696",1.31,-,2020
20210311001204,Y,00110893,대신증권,우선주,"대신송촌
문화재단",특수관계인,"1,384,624",3.85,"1,384,624",3.85,-,2020
20210311001204,Y,00110893,대신증권,우선주,양홍석,본인,130,0.00,130,0.00,-,2020
20210311001204,Y,00110893,대신증권,보통주,이어룡,특수관계인,"1,047,899",2.06,"1,105,633",2.18,*이연성과급,2020
20210311001204,Y,00110893,대신증권,보통주,양정연,특수관계인,"543,190",1.07,"621,453",1.22,*시장매입,2020
20210311001204,Y,00110893,대신증권,보통주,양승주,특수관계인,0,0.00,"40,000",0.08,*시장매입,2020
20210311001204,Y,00110893,대신증권,보통주,양회금,특수관계인,"2,072",0.00,"2,072",0.00,-,2020
20210311001204,Y,00110893,대신증권,우선주,양회금,특수관계인,"2,245",0.01,"2,245",0.01,-,2020
20210311001204,Y,00110893,대신증권,보통주,노정남,특수관계인,"40,737",0.08,"40,737",0.08,-,2020
20210311001204,Y,00110893,대신증권,우선주,노정남,특수관계인,"1,733",0.00,"1,733",0.00,-,2020
20210311001204,Y,00110893,대신증권,보통주,계,,"6,283,284",12.38,"7,106,763",14.00,-,2020
20210311001204,Y,00110893,대신증권,우선주,계,,"1,388,732",3.86,"1,388,732",3.86,-,2020
20220516001812,Y,00110893,대신증권,보통주,양홍석,본인,"4,610,498",9.08,"4,985,667",9.82,"*시장매입
*이연성과급",2021
20220516001812,Y,00110893,대신증권,보통주,안경환,특수관계인,"6,886",0.01,"3,500",0.01,-,2021
20220516001812,Y,00110893,대신증권,보통주,오익근,특수관계인,"13,788",0.03,"32,846",0.06,*이연성과급,2021
20220516001812,Y,00110893,대신증권,보통주,"대신송촌
문화재단",특수관계인,"665,696",1.31,"717,206",1.41,*수증,2021
20220516001812,Y,00110893,대신증권,우선주,"대신송촌
문화재단",특수관계인,"1,384,624",3.85,"1,384,624",3.85,-,2021
20220516001812,Y,00110893,대신증권,우선주,양홍석,본인,130,0.00,130,0.00,-,2021
20220516001812,Y,00110893,대신증권,보통주,이어룡,특수관계인,"1,105,633",2.18,"1,198,371",2.36,*이연성과급,2021
20220516001812,Y,00110893,대신증권,보통주,양정연,특수관계인,"621,453",1.22,"621,453",1.22,-,2021
20220516001812,Y,00110893,대신증권,보통주,양승주,특수관계인,"40,000",0.08,"90,000",0.18,*시장매입,2021
20220516001812,Y,00110893,대신증권,보통주,양회금,특수관계인,"2,072",0.00,"2,072",0.00,-,2021
20220516001812,Y,00110893,대신증권,우선주,양회금,특수관계인,"2,245",0.01,"2,245",0.01,-,2021
20220516001812,Y,00110893,대신증권,보통주,노정남,특수관계인,"40,737",0.08,"40,737",0.08,-,2021
20220516001812,Y,00110893,대신증권,우선주,노정남,특수관계인,"1,733",0.00,"1,733",0.00,-,2021
20220516001812,Y,00110893,대신증권,보통주,계,,"7,106,763",14.00,"7,691,852",15.15,-,2021
20220516001812,Y,00110893,대신증권,우선주,계,,"1,388,732",3.86,"1,388,732",3.86,-,2021
20230316001545,Y,00110893,대신증권,보통주,양홍석,본인,"4,985,667",9.82,"5,175,034",10.19,"*시장매입
*자사주성과급",2022
20230316001545,Y,00110893,대신증권,우선주,양회금,특수관계인,"2,245",0.01,"2,245",0.01,-,2022
20230316001545,Y,00110893,대신증권,보통주,노정남,특수관계인,"40,737",0.08,"40,737",0.08,-,2022
20230316001545,Y,00110893,대신증권,우선주,노정남,특수관계인,"1,733",0.00,"1,733",0.00,-,2022
20230316001545,Y,00110893,대신증권,보통주,안경환,특수관계인,"3,500",0.01,0,0.00,*시장매도,2022
20230316001545,Y,00110893,대신증권,보통주,오익근,특수관계인,"32,846",0.06,"73,785",0.15,*자사주성과급,2022
20230316001545,Y,00110893,대신증권,보통주,"대신송촌
문화재단",특수관계인,"717,206",1.41,"717,206",1.41,-,2022
20230316001545,Y,00110893,대신증권,우선주,"대신송촌
문화재단",특수관계인,"1,384,624",3.85,"1,384,624",3.85,-,2022
20230316001545,Y,00110893,대신증권,우선주,양홍석,본인,130,0.00,130,0.00,-,2022
20230316001545,Y,00110893,대신증권,보통주,이어룡,특수관계인,"1,198,371",2.36,"1,271,697",2.50,*자사주성과급,2022
20230316001545,Y,00110893,대신증권,보통주,양정연,특수관계인,"621,453",1.22,"639,753",1.26,*시장매입,2022
20230316001545,Y,00110893,대신증권,보통주,양승주,특수관계인,"90,000",0.18,"98,800",0.19,*시장매입,2022
20230316001545,Y,00110893,대신증권,보통주,양채유,특수관계인,0,0.00,"32,637",0.06,*시장매입,2022
20230316001545,Y,00110893,대신증권,보통주,양채린,특수관계인,0,0.00,"32,132",0.06,*시장매입,2022
20230316001545,Y,00110893,대신증권,보통주,홍승우,특수관계인,0,0.00,"24,100",0.05,*시장매입,2022
20230316001545,Y,00110893,대신증권,보통주,양회금,특수관계인,"2,072",0.00,"2,072",0.00,-,2022
20230316001545,Y,00110893,대신증권,보통주,계,,"7,691,852",15.15,"8,107,953",15.97,-,2022
20230316001545,Y,00110893,대신증권,우선주,계,,"1,388,732",3.86,"1,388,732",3.86,-,2022
